Date,Days Since First Case,New Cases Reported,Total,Seven Day New Case Average
28-Feb,1,1,1,0.14
29-Feb,2,0,1,0.14
1-Mar,3,0,1,0.14
2-Mar,4,1,2,0.29
3-Mar,5,0,2,0.29
4-Mar,6,0,2,0.29
5-Mar,7,0,2,0.29
6-Mar,8,1,3,0.29
7-Mar,9,0,3,0.29
8-Mar,10,0,3,0.29
9-Mar,11,0,3,0.14
10-Mar,12,5,8,0.86
11-Mar,13,0,8,0.86
12-Mar,14,4,12,1.43
13-Mar,15,4,16,1.86
14-Mar,16,8,24,3.00
15-Mar,17,9,33,4.29
16-Mar,18,1,34,4.43
17-Mar,19,7,41,4.71
18-Mar,20,22,63,7.86
19-Mar,21,35,98,12.29
20-Mar,22,40,138,17.43
21-Mar,23,47,185,23.00
22-Mar,24,71,256,31.86
23-Mar,25,42,298,37.71
24-Mar,26,101,399,51.14
25-Mar,27,106,505,63.14
26-Mar,28,132,637,77.00
27-Mar,29,128,765,89.57
28-Mar,30,171,936,107.29
29-Mar,31,232,1168,130.29
30-Mar,32,140,1308,144.29
31-Mar,33,191,1499,157.14
1-Apr,34,86,1585,154.29
2-Apr,35,273,1858,174.43
3-Apr,36,236,2094,189.86
4-Apr,37,309,2403,209.57
5-Apr,38,183,2586,202.57
6-Apr,39,285,2871,223.29
7-Apr,40,351,3222,246.14
8-Apr,41,205,3427,263.14
9-Apr,42,225,3652,256.29
10-Apr,43,257,3909,259.29
11-Apr,44,404,4313,272.86
12-Apr,45,208,4521,276.43
13-Apr,46,296,4817,278.00
14-Apr,47,208,5025,257.57
15-Apr,48,99,5124,242.43
16-Apr,49,342,5466,259.14
17-Apr,50,394,5860,278.71
18-Apr,51,281,6141,261.14
19-Apr,52,353,6494,281.86
20-Apr,53,271,6765,278.29
21-Apr,54,187,6952,275.29
22-Apr,55,269,7221,299.57
23-Apr,56,388,7609,306.14
24-Apr,57,444,8053,313.29
25-Apr,58,490,8543,343.14
26-Apr,59,288,8831,333.86
27-Apr,60,312,9143,339.71
28-Apr,61,426,9569,373.86
29-Apr,62,380,9949,389.71
30-Apr,63,561,10510,414.43
1-May,64,414,10924,410.14
2-May,65,586,11510,423.86
3-May,66,155,11665,404.86
4-May,67,184,11849,386.57
5-May,68,408,12257,384.00
6-May,69,502,12759,401.43
7-May,70,639,13398,412.57
8-May,71,471,13869,420.71
9-May,72,492,14361,407.29
10-May,73,404,14765,442.86
11-May,74,281,15046,456.71
12-May,75,301,15347,441.43
13-May,76,470,15817,436.86
14-May,77,691,16508,444.29
15-May,78,622,17130,465.86
16-May,79,853,17983,517.43
17-May,80,530,18513,535.43
18-May,81,511,19024,568.29
19-May,82,677,19701,622.00
20-May,83,422,20123,615.14
21-May,84,738,20861,621.86
22-May,85,758,21619,641.29
23-May,86,1107,22726,677.57
24-May,87,497,23223,672.86
25-May,88,742,23965,705.86
26-May,89,176,24141,634.29
27-May,90,488,24629,643.71