County,State ,Total COVID-19 Cases,COVID-19 Related Deaths,Population,Cases Per 10000 Residents,,,,
Alamance,NC,203,9,174055,11.66298009,,,,
Alexander,NC,18,0,38755,4.644561992,,,,
Alleghany,NC,11,0,11510,9.556907037,,,,
Anson,NC,46,0,25289,18.18972676,,,,
Ashe,NC,26,0,28150,9.236234458,,,,
Avery,NC,0,0,18035,0,,,,
Beaufort,NC,27,0,47490,5.685407454,,,,
Bertie,NC,84,3,19601,42.85495638,,,,
Bladen,NC,70,2,34444,20.32284288,,,,
Brunswick,NC,55,2,146135,3.763643207,,,,
Buncombe,NC,152,4,267046,5.691903268,,,,
Burke,NC,191,14,91934,20.77577392,,,,
Cabarrus,NC,372,19,216608,17.17388093,,,,
Caldwell,NC,78,2,83703,9.318662414,,,,
Camden,NC,2,0,10717,1.866193898,,,,
Carteret,NC,35,3,71640,4.885538805,,,,
Caswell,NC,43,1,23666,18.1695259,,,,
Catawba,NC,96,2,160504,5.981159348,,,,
Chatham,NC,504,24,77713,64.85401413,,,,
Cherokee,NC,17,1,29972,5.671960496,,,,
Chowan,NC,14,0,14074,9.947420776,,,,
Clay,NC,5,0,12058,4.146624648,,,,
Cleveland,NC,54,2,100289,5.384438971,,,,
Columbus,NC,228,18,56220,40.55496265,,,,
Craven,NC,84,4,103983,8.078243559,,,,
Cumberland,NC,463,12,333209,13.8951829,,,,
Currituck,NC,11,0,27952,3.935317687,,,,
Dare,NC,18,1,37560,4.792332268,,,,
Davidson,NC,274,10,170888,16.03389354,,,,
Davie,NC,46,2,43965,10.46286819,,,,
Duplin,NC,368,7,59756,61.58377401,,,,
Durham,NC,974,36,320322,30.40690305,,,,
Edgecombe,NC,167,7,52447,31.84166873,,,,
Forsyth,NC,627,7,383123,16.36550142,,,,
Franklin,NC,121,20,70212,17.23352134,,,,
Gaston,NC,201,6,223842,8.979548074,,,,
Gates,NC,14,0,12165,11.50842581,,,,
Graham,NC,2,0,8686,2.302555837,,,,
Granville,NC,190,6,62147,30.57267447,,,,
Greene,NC,44,1,21051,20.90161988,,,,
Guilford,NC,776,47,545348,14.22944615,,,,
Halifax,NC,106,1,50838,20.85054487,,,,
Harnett,NC,240,17,137358,17.47258987,,,,
Haywood,NC,22,0,63813,3.447573378,,,,
Henderson,NC,279,38,119730,23.30243047,,,,
Hertford,NC,51,1,24015,21.23672705,,,,
Hoke,NC,148,0,55802,26.52234687,,,,
Hyde,NC,1,0,5156,1.939487975,,,,
Iredell,NC,181,5,184023,9.835727056,,,,
Jackson,NC,24,1,44848,5.351409204,,,,
Johnston,NC,234,17,212401,11.01689728,,,,
Jones,NC,21,2,10194,20.60035315,,,,
Lee,NC,308,3,62429,49.33604575,,,,
Lenoir,NC,147,5,55963,26.26735522,,,,
Lincoln,NC,45,0,88151,5.104876859,,,,
Macon,NC,4,1,36897,1.084098978,,,,
Madison,NC,1,0,22843,0.437770871,,,,
Martin,NC,35,4,23039,15.19163158,,,,
McDowell,NC,30,1,46905,6.39590662,,,,
Mecklenburg,NC,2504,62,1131342,22.13300664,,,,
Mitchell,NC,8,0,15258,5.243151134,,,,
Montgomery,NC,56,3,27712,20.20785219,,,,
Moore,NC,114,10,102950,11.07333657,,,,
Nash,NC,146,3,95923,15.22054148,,,,
New Hanover,NC,120,3,239272,5.015212812,,,,
Northampton,NC,129,10,20258,63.67854675,,,,
Onslow,NC,70,2,204357,3.425378137,,,,
Orange,NC,269,36,148610,18.10106991,,,,
Pamlico,NC,8,0,13283,6.022735828,,,,
Pasquotank,NC,87,5,39685,21.9226408,,,,
Pender,NC,44,1,64578,6.813465886,,,,
Perquimans,NC,23,2,13637,16.86587959,,,,
Person,NC,32,1,40529,7.895580942,,,,
Pitt,NC,202,2,181005,11.15991271,,,,
Polk,NC,31,3,21852,14.1863445,,,,
Randolph,NC,438,6,145807,30.03971003,,,,
Richmond,NC,112,2,44993,24.8927611,,,,
Robeson,NC,509,6,130529,38.99516583,,,,
Rockingham,NC,45,2,91830,4.90035936,,,,
Rowan,NC,525,25,143259,36.64691224,,,,
Rutherford,NC,151,5,69105,21.85080674,,,,
Sampson,NC,232,1,64458,35.99242918,,,,
Scotland,NC,50,0,35690,14.00952648,,,,
Stanly,NC,31,4,64236,4.825954294,,,,
Stokes,NC,26,0,46360,5.608283003,,,,
Surry,NC,75,1,73231,10.24156436,,,,
Swain,NC,6,0,14108,4.252906153,,,,
Transylvania,NC,7,0,35806,1.954979612,,,,
Tyrrell,NC,4,0,4260,9.389671362,,,,
Union,NC,351,16,242657,14.46486192,,,,
Vance,NC,187,16,46142,40.52706861,,,,
Wake,NC,1176,28,1109883,10.59571144,,,,
Warren,NC,28,0,19898,14.07176601,,,,
Washington,NC,26,3,11987,21.69016434,,,,
Watauga,NC,9,0,58731,1.532410482,,,,
Wayne,NC,819,15,126606,64.6888773,,,,
Wilkes,NC,405,1,70490,57.45495815,,,,
Wilson,NC,229,9,82675,27.69882068,,,,
Yadkin,NC,98,1,38236,25.63029606,,,,
Yancey,NC,8,0,18794,4.256677663,,,,
,,,,,,,,,
,,,,,,,,,